,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Total_Spent_Per_District,Percent_Spent,STATEFP20
189,FL,14,Christine Quinn,R,False,0,39.7,242144.0,241187.0,1442840.0,16.716129300546147,12
190,FL,15,Alan Cohn,D,False,0,44.6,2333053.0,2300197.0,3938614.0,58.40117868874686,12
191,FL,15,Scott Franklin,R,False,1,55.4,1663898.0,1638417.0,3938614.0,41.59882131125315,12
192,FL,16,Vernon Buchanan,R,True,1,55.5,3094611.0,3100766.0,6508611.0,47.640979004583315,12
193,FL,16,Margaret Good,D,False,0,44.5,3411924.0,3407845.0,6508611.0,52.359020995416685,12
194,FL,17,Greg Steube,R,True,1,64.6,759908.0,621200.0,699443.0,88.81352733532253,12
195,FL,17,Allen Ellison,D,False,0,34.1,83481.0,78243.0,699443.0,11.186472664677465,12
196,FL,18,Brian Mast,R,True,1,56.4,6128177.0,5301307.0,6934043.0,76.45333321411478,12
197,FL,18,Pam Keith,D,False,0,41.5,1639873.0,1632736.0,6934043.0,23.546666785885233,12
198,FL,19,Byron Donalds,R,False,1,61.3,3219579.0,2738685.0,2942115.0,93.08558638938315,12
199,FL,19,Cindy Banyai,D,False,0,38.7,214750.0,203430.0,2942115.0,6.914413610616853,12
200,FL,20,Alcee Hastings,D,True,1,78.7,607649.0,543316.0,570854.0,95.17599946746454,12
201,FL,20,Greg Musselwhite,R,False,0,21.3,28955.0,27538.0,570854.0,4.8240005325354645,12
202,FL,21,Lois Frankel,D,True,1,59.0,1534882.0,1309786.0,3579111.0,36.59528860658415,12
203,FL,21,Laura Loomer,R,False,0,39.1,2271604.0,2240689.0,3579111.0,62.60462444445003,12
204,FL,21,Charleston Malkemus,I,False,0,1.9,28928.0,28636.0,3579111.0,0.8000869489658187,12
205,FL,22,Ted Deutch,D,True,1,58.6,1364438.0,1265494.0,1543910.0,81.9668244910649,12
206,FL,22,Jim Pruden,R,False,0,41.4,278416.0,278416.0,1543910.0,18.033175508935106,12
207,FL,23,Debbie Wasserman Schultz,D,True,1,58.2,2191922.0,1979903.0,2883464.0,68.66404435775858,12
208,FL,23,Carla Spalding,R,False,0,41.8,919579.0,903561.0,2883464.0,31.335955642241416,12
209,FL,24,Frederica Wilson,D,True,1,75.6,412592.0,321019.0,388826.0,82.56109416551362,12
210,FL,24,Lavern Spicer,R,False,0,20.4,34973.0,34909.0,388826.0,8.978051879246758,12
211,FL,24,Christine Olivo,I,False,0,4.0,31646.0,32898.0,388826.0,8.460853955239617,12
212,FL,25,Mario Diaz-Balart,R,True,1,100.0,1590134.0,804054.0,804054.0,100.0,12
213,FL,26,Debbie Mucarsel-Powell,D,True,0,48.3,6793521.0,6822740.0,9010129.0,75.72300019233909,12
214,FL,26,Carlos Gimenez,R,False,1,51.7,2226559.0,2187389.0,9010129.0,24.27699980766091,12
215,FL,27,Donna Shalala,D,True,0,48.6,3842907.0,3735966.0,7381780.0,50.61063862645595,12
216,FL,27,Maria Salazar,R,False,1,51.4,3654190.0,3645814.0,7381780.0,49.38936137354405,12
217,GA,1,Buddy Carter,R,True,1,58.4,2315487.0,1734754.0,1859754.0,93.27868094382376,13
218,GA,1,Joyce Griggs,D,False,0,41.7,130043.0,125000.0,1859754.0,6.721319056176248,13
219,GA,2,Sanford Bishop,D,True,1,59.1,1540683.0,1440571.0,1603093.0,89.86197307330266,13
220,GA,2,Don Cole,R,False,0,40.9,164274.0,162522.0,1603093.0,10.138026926697329,13
221,GA,3,Drew Ferguson,R,True,1,65.0,2374212.0,2150911.0,2182857.0,98.53650513982363,13
222,GA,3,Val Almonord,D,False,0,35.0,35762.0,31946.0,2182857.0,1.463494860176365,13
223,GA,4,Hank Johnson,D,True,1,80.1,628303.0,490360.0,513506.0,95.4925551015957,13
224,GA,4,Johsira C. Cruz,R,False,0,19.9,12954.0,23146.0,513506.0,4.507444898404303,13
225,GA,5,Nikema Williams,D,False,1,85.2,553964.0,362801.0,664139.0,54.6272692915188,13
226,GA,5,Angela Stanton-King,R,False,0,14.9,305279.0,301338.0,664139.0,45.37273070848121,13
227,GA,6,Lucy McBath,D,True,1,54.6,8507298.0,8586054.0,11658986.0,73.64323106657818,13
228,GA,6,Karen Handel,R,False,0,45.4,3026243.0,3072932.0,11658986.0,26.356768933421826,13
229,GA,7,Carolyn Bourdeaux,D,False,1,54.4,5133244.0,5161230.0,7724954.0,66.81243668247086,13
230,GA,7,Richard McCormick,R,False,0,48.6,2595446.0,2563724.0,7724954.0,33.18756331752914,13
231,GA,8,Austin Scott,R,True,1,64.5,821745.0,716159.0,716159.0,100.0,13
232,GA,9,Andrew Clyde,R,False,1,78.6,1569425.0,1561316.0,1645939.0,94.85867945288373,13
233,GA,9,Devin Pandy,D,False,0,21.4,84272.0,84623.0,1645939.0,5.141320547116266,13
234,GA,10,Jody Hice,R,True,1,62.3,595947.0,457648.0,469862.0,97.40051334221538,13
235,GA,10,Tabitha Johnson-Green,D,False,0,37.7,14808.0,12214.0,469862.0,2.599486657784626,13
236,GA,11,Barry Loudermilk,R,True,1,60.4,877767.0,700851.0,1095828.0,63.956296061060684,13
237,GA,11,Dana Barrett,D,False,0,39.6,404625.0,394977.0,1095828.0,36.043703938939316,13
238,GA,12,Richard W Allen,R,True,1,58.4,1228970.0,662818.0,734879.0,90.19416801949708,13
239,GA,12,Liz Johnson,D,False,0,41.6,72061.0,72061.0,734879.0,9.805831980502914,13
240,GA,13,David Scott,D,True,1,77.4,1209614.0,1131746.0,1194681.0,94.73206655165689,13
241,GA,13,Becky Hites,R,False,0,22.6,63509.0,62935.0,1194681.0,5.267933448343114,13
242,GA,14,Marjorie Taylor Greene,R,False,1,74.8,2596914.0,2237599.0,2237599.0,100.0,13
243,HI,1,Ed Case,D,True,0,64.7,508249.0,472569.0,485216.0,97.39353195277978,15
244,HI,1,Ron Curtis,R,False,0,25.1,12538.0,12647.0,485216.0,2.6064680472202073,15
245,HI,2,Kai Kahele,D,False,1,57.9,1235523.0,1039637.0,1094981.0,94.94566572388014,15
246,HI,2,Joe Akana,R,False,0,28.3,54534.0,55344.0,1094981.0,5.054334276119859,15
247,ID,1,Russ Fulcher,R,True,1,67.8,575485.0,508457.0,811359.0,62.667327286688135,16
248,ID,1,Rudy Soto,D,False,0,28.7,302902.0,302902.0,811359.0,37.332672713311865,16
249,ID,2,Mike Simpson,R,True,1,64.1,1008847.0,1099604.0,1169872.0,93.9935309162028,16
250,ID,2,Aaron Swisher,D,False,0,31.7,70674.0,70268.0,1169872.0,6.006469083797201,16
251,IL,1,Bobby Rush,D,True,1,73.8,541435.0,496454.0,501502.0,98.99342375503986,17
252,IL,1,Philanise White,R,False,0,26.2,6289.0,5048.0,501502.0,1.0065762449601396,17
253,IL,2,Robin Kelly,D,True,1,78.8,1634783.0,1108137.0,1108137.0,100.0,17
254,IL,3,Marie Newman,D,False,1,56.4,2802093.0,2699323.0,2827303.0,95.47342467362006,17
255,IL,3,Mike Fricilone,R,False,0,43.6,128458.0,127980.0,2827303.0,4.526575326379946,17
256,IL,4,Jesus Garcia,D,True,1,16.0,822846.0,711159.0,712002.0,99.88160145617569,17
257,IL,4,Jesus Solorio Jr,R,False,0,84.0,2065.0,843.0,712002.0,0.1183985438243151,17
258,IL,5,Mike Quigley,D,True,1,70.8,1171507.0,926655.0,926655.0,100.0,17
259,IL,6,Sean Casten,D,True,1,52.8,5582179.0,5313570.0,8449034.0,62.88967472494489,17
260,IL,6,Jeanne Ives,R,False,0,45.4,3157771.0,3135464.0,8449034.0,37.11032527505511,17
261,IL,7,Danny K Davis,D,True,1,80.4,544690.0,505506.0,505506.0,100.0,17
